Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6, C7, C8",1210,4,470nF,
"C14, C23, C28, C33",1206,4,10nF,
"C15, C20, C25, C30",1206,4,"2,2UF",
"C16, C17, C21, C22, C26, C27, C31, C32",1206,8,100nF,
"C18, C19, C24, C29, C3, C5",1210,6,10uF,
"C2, C4",CP_Elec_10x10,2,470uF,
D1,D_SMA,1,SMAJ40A,
"D2, D3, D4, D5",D_SMB,4,D_Schottky,
ESP32_S1,ESP32-S3-Zero,1,~,
F1,Fuse_Littelfuse-NANO2-451_453,1,1A,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,"PhoenixContact_MCV_1,5_8-G-3.81_1x08_P3.81mm_Vertical",1,Conn_01x08_Pin,
J3,"PhoenixContact_MSTBVA_2,5_2-G_1x02_P5.00mm_Vertical",1,Conn_01x02_Female,
"L2, L3, L4, L5",L_TDK_SLF10145,4,47µH,
"R19, R20, R21, R22",0805,4,536k,
"R3, R4, R5, R6",2512,4,0.2R,
U1,Converter_DCDC_TRACO_TSR-1_THT,1,TSR_1-2490,
"U2, U3, U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,4,LM3404,
