Designator,Mid X,Mid Y,Rotation,Layer
C1,160.6187,-94.4631,90.0,top
C14,142.0382,-90.1836,270.0,top
C15,133.4022,-95.8986,90.0,top
C16,130.6082,-95.8986,90.0,top
C17,128.1567,-91.7076,0.0,top
C18,127.3062,-95.8986,90.0,top
C19,127.1748,-81.0773,90.0,top
C2,114.2769,-47.9688,0.0,top
C20,132.9958,-81.0773,90.0,top
C21,130.2018,-81.0773,90.0,top
C22,128.0253,-76.9248,0.0,top
C23,141.9068,-75.4893,270.0,top
C24,127.3313,-66.1688,90.0,top
C25,130.3583,-66.1688,90.0,top
C26,133.1523,-66.1688,90.0,top
C27,128.1818,-62.0163,0.0,top
C28,142.0633,-60.5808,270.0,top
C29,127.2997,-52.0296,90.0,top
C3,104.7908,-70.4101,270.0,top
C30,130.3267,-52.0296,90.0,top
C31,133.1207,-52.0296,90.0,top
C32,128.1502,-47.8771,0.0,top
C33,142.0317,-46.4416,270.0,top
C4,114.3036,-59.348,0.0,top
C5,100.3712,-70.3839,270.0,top
C6,160.4996,-80.3181,90.0,top
C7,160.6561,-65.4096,90.0,top
C8,160.6245,-51.2704,90.0,top
D1,103.9018,-43.7016,180.0,top
D2,139.8792,-96.1526,180.0,top
D3,139.7478,-81.3698,180.0,top
D4,139.9043,-66.4613,180.0,top
D5,139.8727,-52.3221,180.0,top
ESP32_S1,102.2578,-84.9766,0.0,top
F1,103.5208,-47.6132,0.0,top
J1,175.5594,-72.556,90.0,top
J3,95.5014,-59.6636,90.0,top
L2,150.4202,-92.8506,0.0,top
L3,150.2638,-78.3218,0.0,top
L4,150.4203,-63.4133,0.0,top
L5,150.3887,-49.2741,0.0,top
R19,128.7794,-89.193,180.0,top
R20,128.627,-74.0546,180.0,top
R21,128.7835,-59.1461,180.0,top
R22,128.7519,-45.0069,180.0,top
R3,160.7092,-89.5486,180.0,top
R4,160.5504,-74.9964,180.0,top
R5,160.7069,-60.0879,180.0,top
R6,160.6753,-45.9487,180.0,top
U1,113.8332,-68.8476,180.0,top
U2,136.4832,-89.8431,90.0,top
U3,136.3518,-74.7658,90.0,top
U4,136.5083,-59.8573,90.0,top
U5,136.4767,-45.7181,90.0,top
